NoOfEvals,ArexJggOffsetRastriginP14K5_0,ArexJggOffsetRastriginP14K5_1,ArexJggOffsetRastriginP14K5_2
97100,0.11303929120031242,0.9980734772267752,0.0036678640412404206
98100,0.034044607619236444,0.9966222563755256,0.001909924141255459
99100,0.034044607619236444,0.9961154021538174,0.0016880997394022046
100100,0.02139842151241389,0.995731232144534,0.0011920118434058935
101100,0.020845080578329345,0.9955787269227834,6.814404860300272E-4
102100,0.009818107453501312,0.9953859265788925,3.7221562255318474E-4
103100,0.007203825027923827,0.9952573344607583,2.085424973525818E-4
104100,0.005059548609606779,0.9950824836972831,1.8945427387606628E-4
105100,0.003230293572800136,0.9950687319620197,1.1718259388615593E-4
106100,0.001918789261802445,0.9950062928906682,8.66682393194651E-5
107100,0.0014718383402172464,0.9950006507064995,7.15478852466589E-5
108100,6.32870241341621E-4,0.9949892641192513,3.0354850419911372E-5
109100,5.469684667733787E-4,0.9949740422519238,2.1703704929265655E-5
110100,3.515461378302831E-4,0.9949686630691001,1.7304452301303286E-5
111100,2.301655235328326E-4,0.9949638120299191,6.580787566434765E-6
112100,1.8610215763459337E-4,0.9949645532328866,7.819382865648095E-6
113100,1.1956836389259706E-4,0.9949625409268563,4.964386832284617E-6
114100,7.6773381040951E-5,0.9949611827398517,2.592057086303612E-6
115100,7.6773381040951E-5,0.994960924155059,2.1318947229787E-6
116100,4.04040268087158E-5,0.99496025851413,1.8415372231572746E-6
117100,2.395776518149262E-5,0.9949598150830514,9.488094629972466E-7
118100,1.0157797216692188E-5,0.9949594873783898,8.409989931124073E-7
119100,1.0157797216692188E-5,0.9949594925767471,4.779088342843352E-7
120100,7.692426605032665E-6,0.9949592091985782,3.0141888984758225E-7
121100,4.440473968969627E-6,0.9949591945393941,2.0491973806713304E-7
122100,2.8087625736361588E-6,0.994959181073046,1.5418754095719578E-7
122800,2.605552474221895E-6,0.9949591307648173,9.229545128164318E-8
124100,2.103985570656164E-6,0.9949591050663553,
125100,9.314352258371628E-7,0.9949590881140562,
126100,8.382629452796664E-7,0.9949590783638023,
127100,6.033021069384858E-7,0.9949590689903403,
128100,3.372478758478792E-7,0.9949590655960119,
129100,1.8687657998839313E-7,0.9949590624218967,
130100,1.596173024864811E-7,0.9949590611832022,
131100,1.1302831026682725E-7,0.9949590589595001,
132100,9.898932873397825E-8,0.9949590585959811,
133100,,0.9949590581024079,
134100,,0.9949590579282539,
135100,,0.9949590574855272,
136100,,0.994959057303122,
137100,,0.9949590573105205,
138100,,0.99495905722247,
139100,,0.9949590571841433,
140100,,0.994959057158125,
141100,,0.994959057135345,
142100,,0.9949590571164979,
143100,,0.9949590571084705,
144100,,0.9949590571051719,
145100,,0.9949590571003899,
146100,,0.9949590570981748,
147100,,0.9949590570968461,
148100,,0.9949590570956044,
149100,,0.9949590570950413,
150100,,0.9949590570941389,
151100,,0.9949590570938902,
152100,,0.9949590570938902,
153100,,0.9949590570934852,
154100,,0.994959057093439,
155100,,0.9949590570933804,
156100,,0.9949590570933271,
157100,,0.9949590570933058,
158100,,0.9949590570932969,
159100,,0.9949590570932898,
160100,,0.9949590570932898,
161100,,0.9949590570932898,
162100,,0.9949590570932898,
163100,,0.9949590570932898,
164100,,0.9949590570932898,
165100,,0.9949590570932898,
166100,,0.9949590570932898,
167100,,0.9949590570932898,
168100,,0.9949590570932898,
169100,,0.9949590570932898,
170100,,0.9949590570932898,
171100,,0.9949590570932898,
172100,,0.9949590570932898,
173100,,0.9949590570932898,
174100,,0.9949590570932898,
175100,,0.9949590570932898,
176100,,0.9949590570932898,
177100,,0.9949590570932898,
178100,,0.9949590570932898,
179100,,0.9949590570932898,
180100,,0.9949590570932898,
181100,,0.9949590570932898,
182100,,0.9949590570932898,
183100,,0.9949590570932898,
184100,,0.9949590570932898,
185100,,0.9949590570932898,
186100,,0.9949590570932898,
187100,,0.9949590570932898,
188100,,0.9949590570932898,
189100,,0.9949590570932898,
190100,,0.9949590570932898,
191100,,0.9949590570932898,
192100,,0.9949590570932898,
193100,,0.9949590570932898,
194100,,0.9949590570932898,
195100,,0.9949590570932898,
196100,,0.9949590570932898,
197100,,0.9949590570932898,
198100,,0.9949590570932898,
199100,,0.9949590570932898,
200100,,0.9949590570932898,
201100,,0.9949590570932898,
202100,,0.9949590570932898,
203100,,0.9949590570932898,
204100,,0.9949590570932898,
205100,,0.9949590570932898,
206100,,0.9949590570932898,
207100,,0.9949590570932898,
208100,,0.9949590570932898,
209100,,0.9949590570932898,
210100,,0.9949590570932898,
211100,,0.9949590570932898,
212100,,0.9949590570932898,
213100,,0.9949590570932898,
214100,,0.9949590570932898,
