NoOfEvals,UndxMggKTabletP14K5_0,UndxMggKTabletP14K5_1,UndxMggKTabletP14K5_2
178100,263.862846044366,248.6631824546852,217.28420153801483
179100,263.862846044366,137.64507075107772,177.44455107424153
180100,263.862846044366,137.64507075107772,177.44455107424153
181100,263.862846044366,137.64507075107772,177.44455107424153
182100,263.862846044366,119.82784173214507,177.44455107424153
183100,263.862846044366,119.82784173214507,177.44455107424153
184100,256.8693810726549,119.82784173214507,177.44455107424153
185100,256.8693810726549,119.82784173214507,177.44455107424153
186100,256.8693810726549,95.11597863184815,177.44455107424153
187100,256.8693810726549,95.11597863184815,177.44455107424153
188100,256.8693810726549,95.11597863184815,177.44455107424153
189100,233.85208554989634,95.11597863184815,177.44455107424153
190100,233.85208554989634,95.11597863184815,177.44455107424153
191100,233.85208554989634,95.11597863184815,177.44455107424153
192100,221.25528980881808,95.11597863184815,177.44455107424153
193100,162.13936311604874,95.11597863184815,177.44455107424153
194100,162.13936311604874,95.11597863184815,177.44455107424153
195100,156.14072289488826,95.11597863184815,177.44455107424153
196100,156.14072289488826,95.11597863184815,177.44455107424153
197100,137.97299508185012,95.11597863184815,177.44455107424153
198100,137.97299508185012,95.11597863184815,177.44455107424153
199100,137.97299508185012,95.11597863184815,109.80374074198718
200100,137.97299508185012,95.11597863184815,109.80374074198718
201100,137.97299508185012,95.11597863184815,109.80374074198718
202100,110.66156883067785,95.11597863184815,109.80374074198718
203100,105.99658555913902,95.11597863184815,109.80374074198718
204100,105.99658555913902,79.94778161783046,109.80374074198718
205100,105.99658555913902,79.94778161783046,109.80374074198718
206100,105.99658555913902,79.94778161783046,109.80374074198718
207100,105.99658555913902,79.94778161783046,109.80374074198718
208100,105.99658555913902,79.94778161783046,109.80374074198718
209100,105.99658555913902,79.94778161783046,109.80374074198718
210100,105.99658555913902,79.94778161783046,109.80374074198718
211100,105.99658555913902,79.94778161783046,109.80374074198718
212100,77.80216663689023,70.26482465830284,98.35237436150979
213100,77.80216663689023,70.26482465830284,98.35237436150979
214100,77.80216663689023,70.26482465830284,94.06642194628576
215100,77.80216663689023,70.26482465830284,83.46295980798419
216100,77.80216663689023,70.26482465830284,83.46295980798419
217100,77.80216663689023,63.30800329773912,83.46295980798419
218100,77.80216663689023,63.30800329773912,83.46295980798419
219100,77.80216663689023,63.30800329773912,65.01768431776965
220100,59.62566524626654,56.16335742482386,65.01768431776965
221100,59.62566524626654,56.16335742482386,65.01768431776965
222100,59.62566524626654,56.16335742482386,65.01768431776965
223100,59.62566524626654,56.16335742482386,65.01768431776965
224100,59.62566524626654,56.16335742482386,65.01768431776965
225100,59.62566524626654,56.16335742482386,65.01768431776965
226100,59.62566524626654,56.16335742482386,65.01768431776965
227100,59.62566524626654,56.16335742482386,65.01768431776965
228100,59.62566524626654,56.16335742482386,65.01768431776965
229100,49.9305944110454,56.16335742482386,65.01768431776965
230100,38.260757522045544,56.16335742482386,65.01768431776965
231100,38.260757522045544,56.16335742482386,53.40681049308852
232100,38.260757522045544,56.16335742482386,53.40681049308852
233100,38.260757522045544,56.16335742482386,53.40681049308852
234100,38.260757522045544,56.16335742482386,53.40681049308852
